Dec 30 01:16:28 raspberrypi systemd[1]: Created slice system-kmsconvt.slice - Slice /system/kmsconvt.
Dec 30 01:16:32 raspberrypi systemd[1]: Started kmsconvt@tty1.service - KMS System Console on tty1.
Dec 30 01:16:38 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_open_helper [drm]] comm="kmscon", pid=661, minor=0
Dec 30 01:30:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:30:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:30:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:31:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:31:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:31:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:31:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:32:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:32:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:32:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:32:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:33:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:33:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:33:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:33:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:34:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:34:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:34:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:34:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:35:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:35:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:35:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:35:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:36:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:36:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:36:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:36:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:37:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:37:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:37:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:37:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:37:26 raspberrypi sudo[2874]:      nc4 : TTY=pts/2 ; PWD=/home/nc4/TouchscreenApparatus ; USER=root ; COMMAND=/usr/bin/journalctl -u kmsconvt@tty1.service --no-pager
Dec 30 01:38:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:38:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:38:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:38:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:39:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:39:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:39:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:39:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:40:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:40:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:40:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:40:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:41:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:41:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:41:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:41:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:41:28 raspberrypi sudo[3360]:      nc4 : TTY=pts/2 ; PWD=/home/nc4/TouchscreenApparatus ; USER=root ; COMMAND=/usr/bin/journalctl -u kmsconvt@tty1.service --no-pager
Dec 30 01:42:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:42:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:42:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:42:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:43:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:43:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:43:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:43:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:44:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:44:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:44:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:44:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:44:32 raspberrypi sudo[3477]:      nc4 : TTY=pts/2 ; PWD=/home/nc4/TouchscreenApparatus ; USER=root ; COMMAND=/usr/bin/journalctl -u kmsconvt@tty1.service --no-pager
